STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE
56,         0400-3,1,6,8,00000,0,01,037,60370,'Spillway                ',,'Dam access road   ','Fontenelle Dam           ',99.99,0,0,0000000000,0,00004203,000011007,0,3,69,69,06,1968,1,0,15,2005,5,6.7,0,0,0,0,0,0,0,4,0,0,0,A,1,5,1,02,0,00,1,0,0,12.2,12.8,0,0,6.1,6.7,99.99,N,0,N,99.9,0,7,8,8,8,N,1,76,1,45,8,5,N,5,7,6,,,0,811,24,N  ,N  ,N  ,,,,0,0,0,,,,000000000000000,0,N,3,,0,0,0,1,1,0,0,0,0,,Y,8,0,2025,0,Y,7/11/2012,B,Z ,,,,,,,,,0,,96,0
56,      14JCK1001,1,6,1,00000,0, 0,039,0,'             SNAKE RIVER',,' GRAND TETON NP RD','         JACKSON LAKE DAM',99.99,0,0,,,43512729,110352037,96,3,69,69,09,1912,2,0,1800,2011,0,7.3,0,0,0,1,1,1,1,5,0,0,0,A,1,5,2,01,0,00,23,0,7.3,3.7,67.7,1.7,2.8,7.3,12.6,99.99,N,0,N,0,0,7,7,6,7,N,1,77.4,1,46.4,6,4,N,5,8,7,,,0,811,24,N  ,N  ,N  ,,,,0,0,0,,,,,0,N,2,,0,0,0,1,0,0,0,5,0,,Y,8,2300,2031,,Y,7/11/2012,B,Z ,,,,,,,,,0,,72.2,0
56,     WYA-BU-001,1,4,8,00000,0, 0,013,0,'     BOYSEN DAM SPILLWAY',,'       ACCESS ROAD','Approximately 20 miles So',99.99,0,0,,0,43250066,108103738,199,3,69,69,09,1948,1,0,50,2002,5,4.3,0,0,0,1,1,1,1,4,0,0,0,P,1,5,1,04,0,00,2,0,3.7,10.4,20.8,0.3,0.3,3.7,4.3,99.99,N,0,N,0,0,7,8,7,8,N,1,35,1,21,6,4,N,4,9,4,38,1,0,711,24,N  ,N  ,N  ,,,,400,40,0,2011,,0,000000000000000,0,N,3,,0,0,0,1,2,0,0,0,0,,Y,9,55,2029,0,Y,7/11/2012,B,Z ,,,,,,,,,0,,62.7,0
56,     WYA-GU-001,1,4,4,00000,0, 0,031,0,'     GLENDO DAM SPILLWAY',,'       COUNTY ROAD','Located on Glendo Dam  ap',99.99,0,0,,0,42283773,104570507,132,3,69,69,08,1954,2,0,10,2002,5,8.2,0,0,0,1,1,1,N,4,0,0,0,A,1,5,1,04,0,00,1,0,7.3,13.7,14.3,0.2,0.2,7.3,8.2,99.99,N,0,N,0,0,8,8,7,8,N,1,54,1,32,7,6,N,5,9,6,,,0,711,24,N  ,N  ,N  ,,,,0,0,0,2008,,0,000000000000000,0,N,2,,0,0,0,1,1,0,0,0,0,,Y,9,11,2029,0,Y,7/11/2012,B,Z ,,,,,,,,,0,,92.5,0
56,     WYA-RU-001,1,4,4,00000,0, 0,013,0,'  BULL LAKE DAM SPILLWAY',,'       COUNTY ROAD','Approximately 19 miles we',99.99,0,0,,0,43123628,109023092,99,3,25,69,09,1938,1,0,5,2002,5,9.1,0,0,0,1,N,N,N,3,0,0,0,A,1,5,3,10,0,00,1,0,2.7,30.5,31.7,2.5,0.2,2.7,5.4,99.99,N,0,N,0,0,5,4,4,8,N,1,29,1,17,4,2,N,3,9,8,,,0,711,24,N  ,N  ,N  ,,,,46000,4600,56,2011,,0,000000000000000,0,N,3,,0,0,0,1,1,0,0,0,0,,Y,8,6,2029,0,Y,7/11/2012,B,A ,,,,,,,,,1,,33.2,1
56,     WYA-SU-001,1,4,4,00000,0, 0,007,0,'      NORTH PLATTE RIVER',,'       COUNTY ROAD','28 miles south west of Al',99.99,0,0,,0,42123000,106523415,159,3,69,69,08,1989,2,0,60,2002,5,7.3,0,0,0,1,1,1,1,5,0,0,0,A,5,5,5,04,0,00,3,0,7.3,25,74.1,1.1,0,7.3,9.1,99.99,N,0,N,0,0,8,5,5,8,N,1,33,1,33,5,6,N,4,9,8,,,0,711,24,N  ,Y60,N  ,,1004,,950,95,1,2011,,0,000000000000000,0,N,2,,0,0,0,2,6,0,0,2,0,,Y,6,66,2029,0,Y,7/11/2012,B,Z ,,,,,,,,,0,,83.5,0
56,    WYA-NPP-001,1,4,4,00000,0, 0,031,0,'   GUERNSEY DAM SPILLWAY',,'  LAKE SHORE DRIVE','1.5 miles north an 1.75 m',99.99,0,0,,0,42172736,104455215,29,3,69,69,08,1926,1,0,10,2002,5,6.1,0,0,0,1,1,1,1,1,0,0,0,P,1,5,1,04,0,00,1,0,4.9,15.2,24.1,0.2,0.7,4.9,6.2,99.99,N,0,N,0,0,6,5,5,9,N,1,9,1,5,3,3,N,0,9,4,,,0,711,24,N  ,N  ,N  ,,,,300,30,0,2011,,0,000000000000000,0,N,3,,0,0,0,1,6,0,0,0,0,,Y,9,11,2029,0,Y,7/11/2012,B,A ,,,,,,,,,2,,22.4,2
56,00000000000C801,1,6,1,00005,0,05,013,0,'S FORK LITTLE WIND RIVER',,'IRR BIA RTE    5  ','3.2KM WEST OF FT WASHAKIE',99.99,0.2,0,0000000000,0,43000150,108561690,8,3,62,62,06,1965,2,0,500,2011,5,7.8,0,0,0,0,0,0,0,5,0,0,0,A,1,5,5,02,0,00,1,0,7.3,18.3,18.9,0.2,0.2,7.3,8.2,99.99,N,0,N,0,0,6,7,7,5,N,5,44.2,5,32.4,7,4,N,5,8,7,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,1,6,0,8,12,0,,Y,6,585,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,85.8,0
56,00000000000C802,1,6,1,00012,0,05,013,0,'LITTLE WIND RIVER       ',,'IRR BIA RTE 12    ','21.7 KM  WEST OF RIVERTON',99.99,0.8,0,0000000000,0,43001490,108392470,16,3,62,62,06,1973,2,0,35,2011,5,9,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,02,0,00,3,0,9.8,18.3,50.4,0.1,0.1,9.8,10.6,99.99,N,0,N,0,0,6,7,7,5,N,5,44.2,5,32.4,7,8,N,5,6,6,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,1,1,0,8,10,0,,Y,6,41,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,98,0
56,00000000000C809,1,6,1,00101,0,05,013,0,'TRIBUTARY TO SHOTGUN CRK',,'IRR BIA RTE   101 ','14.5 KM   SE OF MAIL CAMP',99.99,9.5,0,0000000000,0,43273450,108441600,100,3,62,62,06,1951,1,0,20,2011,1,3.8,0,0,0,0,0,0,0,5,0,0,0,B,1,5,7,02,0,00,1,0,4,5.8,6.2,0.2,0.2,4.4,4.9,99.99,N,0,N,0,0,5,6,6,7,N,5,22.6,5,14.3,4,6,N,0,6,6,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,3,,0,1,0,8,6,0,9,10,0,,Y,6,23,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,54.2,0
